trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.7, 'e': 0.9140000000000095}",20,0,-146.4991914715766,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
173,False,"{'a': 0.7, 'e': 0.9135000000000095}",30,0,-76.14313297524872,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0
174,False,"{'a': 0.7, 'e': 0.9130000000000096}",20,0,-75.46959811853117,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
175,False,"{'a': 0.7, 'e': 0.9125000000000096}",30,0,-57.569133423562256,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
176,False,"{'a': 0.7, 'e': 0.9120000000000097}",25,0,-107.0186671013317,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
177,False,"{'a': 0.7, 'e': 0.9115000000000097}",20,0,-87.80818054579711,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
178,False,"{'a': 0.7, 'e': 0.9110000000000098}",25,0,-103.7177423967432,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
179,False,"{'a': 0.7, 'e': 0.9105000000000099}",20,2,-68.20635757696469,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
180,False,"{'a': 0.7, 'e': 0.9100000000000099}",20,0,-71.82775295621495,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
181,False,"{'a': 0.7, 'e': 0.90950000000001}",20,0,-129.27973408821575,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
182,False,"{'a': 0.7, 'e': 0.90900000000001}",20,0,-51.4044288142136,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
